course,title,topics
COMP 2605,Enterprise Database Systems,"IM-01-02,IM-01-03,IM-02-01,IM-02-02,IM-02-03,IM-02-04,IM-02-05,IM-02-06,IM-03-01,IM-03-02,IM-03-04,IM-03-05,IM-03-06,IM-04-01,IM-04-02,IM-04-03,IM-04-04,IM-04-05,IM-05-01,IM-05-02,IM-05-03,IM-05-04,IM-05-05,IM-05-07,IM-05-08,IM-06-01,IM-06-02,IM-06-03,IM-06-04,IM-06-05,IM-06-06,IM-06-07,IM-06-10,IM-06-11,IM-07-01,IM-07-02,IM-07-03,IM-09-01,IM-09-02,IM-09-03,IM-11-01,IM-11-15,IM-11-16"
COMP 3605,Introduction to Data Analytics,"IM-10-01,IM-10-02,IM-10-03,IM-10-04,IM-10-05,IM-10-06,IS-04-03,IS-04-04,IS-04-05"
COMP 2602,Computer Networks,"IS-12-06,IS-12-07,IS-12-08,IS-12-09,NC-01-01,NC-01-02,NC-01-03,NC-01-04,NC-01-05,NC-02-01,NC-02-02,NC-02-03,NC-02-04,NC-03-01,NC-03-02,NC-03-03,NC-03-04,NC-04-01,NC-04-02,NC-04-03,NC-04-04,NC-04-05,NC-05-01,NC-05-02,NC-05-03,NC-05-04,NC-05-05,NC-05-06,NC-06-01,NC-06-02,NC-06-03,NC-07-01,NC-07-02,NC-07-03,NC-07-04"
INFO 2601,Networking Technologies Fundamentals,"NC-02-01,SF-03-04"
COMP 1601,Computer Programming I,"SDF-01-01,SDF-01-02,SDF-02-01,SDF-02-02,SDF-02-03,SDF-02-04,SDF-02-05,SDF-02-06,SDF-03-01"
COMP 2606,Software Engineering I,"SE-01-01,SE-01-02,SE-01-03,SE-01-04,SE-01-05,SE-02-01,SE-02-03,SE-02-04,SE-02-05,SE-02-08,SE-03-03,SE-04-01,SE-04-02,SE-04-03,SE-04-04,SE-04-05,SE-04-06,SE-04-07,SE-04-09,SE-04-10,SE-04-11,SE-04-12,SE-05-01,SE-05-02,SE-05-03,SE-05-06,SE-07-01,SE-07-02,SE-07-03,SE-07-08,SE-07-09,SE-08-03,SE-08-05"
INFO 3604,Project,"SE-02-01,SE-02-02,SE-02-03,SE-02-04,SE-02-05,SE-04-01,SE-04-03,SE-04-04,SE-04-07,SE-04-09,SE-04-11,SE-05-03,SE-05-05"
INFO 3606,Cloud Computing,SF-02-03
INFO 3601,Platform Technologies II,SF-08-01
INFO 3602,Web Systems & Technologies II,"SP-05-03,SP-05-05"
INFO 2600,Information Systems Development,SP-09-07
